Complexity|MSE|Equation
1|2.3886864|0.90062565
3|0.4363712|(x0 * x0)
5|0.263877|((x0 * x0) + x1)
6|0.009086762|((x0 * x0) + sin(x1))
8|0.008929599|((x0 * x0) + sin(x1 + -31.399315))
10|0.00872109|((x0 * x0) + sin(x1 - (-0.00031614624 / x0)))
11|0.008519852|((x0 * x0) + sin(x1 + (cos(x0) / 24.225029)))
12|0.008373825|((x0 * (x0 - (-0.0026378864 / (x1 - -1.2807258)))) + sin(x1))
13|0.008242077|((x0 * (x0 - (0.0018630968 / (exp(x1) - 0.2672527)))) + sin(x1))
15|0.008018759|((x0 * (x0 + (0.0030769324 / cos((x0 / x1) - 0.91439444)))) + sin(x1))
