drop_length,adv,rec,avg_vel,width,y
-0.1095258,0.2832945,0.10284774,0.03024639,-0.19661416,0.11647688
0.5552113,0.2377427,-0.6128609,0.7202175,-0.45997164,0.89257497
-1.2371343,-1.3818936,1.2270079,-1.4167643,0.56306976,-1.5251371
-1.3711143,-1.6378652,1.4064498,-1.5436797,0.543229,-1.7088809
1.4181702,0.74899745,-1.4727997,1.375518,-0.23475446,1.3378251
0.45949185,0.25890923,-0.50157785,0.6072727,-0.37479642,0.7602345
-0.46556252,-0.13972077,0.41580737,-0.33405176,-0.20128705,-0.28347656
0.09705281,-0.039047718,-0.15279783,0.23395291,-0.34863546,0.35175887
-0.85731065,-0.6771784,0.8886754,-0.93662095,0.3650612,-0.98298097
1.2027689,0.6071699,-1.2570696,1.2166909,-0.3037583,1.2375003
-0.7809678,-0.51196414,0.73310876,-0.6727214,-0.20156685,-0.65817493
-1.4707408,-1.8617259,1.5812006,-1.6626333,0.45997667,-1.8416415
-0.21426025,0.017088048,0.18969087,-0.08984658,-0.20066868,-0.01928528
-1.5326331,-1.8924292,1.6388886,-1.6858475,0.2797334,-1.8462832
0.40558076,0.12552042,-0.45686567,0.574503,-0.49461582,0.7361833
1.1379303,0.6827918,-1.1831896,1.1408259,-0.2371156,1.1465741
1.3651147,-9.613436,0.33134258,0.6721221,-5.4601197,0.8844832
-0.53478,-0.4624322,0.50825363,-0.36374757,-0.53470594,-0.29163092
-1.4635676,-1.761038,1.5298231,-1.638198,0.5543745,-1.8241298
-1.4299103,-1.732612,1.4921539,-1.6190294,0.5733189,-1.7982802
-0.9449203,-0.77409995,0.8929811,-0.8513798,-0.22174862,-0.8544682
-0.9781722,-0.92169416,0.95964473,-0.9943612,0.09663075,-1.0369674
-0.17454153,0.34205437,0.17396833,-0.027208226,-0.18924098,0.05678853
0.51489073,0.20403011,-0.57019234,0.6834093,-0.4812428,0.8540538
-1.4051203,-1.6842872,1.4516466,-1.5940845,0.5724157,-1.7653685
-0.27770966,-16.652065,-0.52622354,-0.65980494,-4.7246594,0.4512772
1.2342627,1.1707331,-1.215414,1.2033418,-0.11383237,1.1508666
-0.35557932,-0.15607996,0.31984735,-0.22564691,-0.25150278,-0.16487488
-0.58388805,-0.27595192,0.5378795,-0.43978247,-0.2870881,-0.39512318
-0.9058795,-0.709144,0.8537677,-0.8035479,-0.2348677,-0.80042785
-0.20558287,-0.02574481,0.1798497,-0.08274402,-0.21608472,-0.011383209
2.5207624,1.9093632,-2.518235,2.1475706,0.29458526,1.6399273
-0.45366266,-0.31221718,0.41583592,-0.3066123,-0.36899653,-0.24445184
1.3015438,-3.0193837,1.2738671,-1.4768862,-5.27064,0.81561345
-1.4023942,-1.6881056,1.4462831,-1.5358517,0.3048003,-1.670936
2.343666,1.4937947,-2.3249116,2.0007572,0.08210687,1.6238037
-0.96521777,-0.82524514,1.0315968,-1.1204581,0.5614043,-1.1918979
-1.476622,-1.8442938,1.5835798,-1.6615982,0.49121058,-1.8526261
0.8653505,0.72822464,-0.8594193,0.93916273,-0.29573473,1.0048349
-1.3802273,-1.6680962,1.4204348,-1.5496204,0.4572194,-1.6943922
-0.41756773,-0.23061094,0.3810857,-0.28028643,-0.29965165,-0.22098975
2.5405135,1.952664,-2.5337915,2.160348,0.3164925,1.6422672
-0.11444331,-20.74816,0.100673,1.6006906,-5.9388647,0.126396
-0.9699745,-0.8666978,0.933863,-0.9361693,-0.04768699,-0.96332884
-1.3562692,-1.5566676,1.3495144,-1.4454114,0.19247745,-1.5489519
1.471236,1.030142,-1.495523,1.3825628,-0.10462518,1.2850351
-1.453617,-1.7990526,1.5442103,-1.6335819,0.48662364,-1.8152425
-0.6216718,-0.13727126,0.6042009,-0.54605466,0.025046635,-0.5229745
0.27545658,-10.951614,1.6808387,0.2382545,-4.4154863,0.4612866
0.35153598,0.12762463,-0.40842295,0.4938068,-0.36506936,0.63743824
-1.2948503,-1.4976507,1.2716804,-1.431246,0.37104455,-1.532362
-0.9177079,-0.6887505,0.88242453,-0.7580763,-0.46373576,-0.72990835
0.83494043,0.71529126,-0.8270067,0.91693914,-0.30517933,0.9906272
-0.4458601,-0.33676285,0.40446836,-0.2946979,-0.39876455,-0.22808677
-1.4722414,-1.8380642,1.5772104,-1.6566318,0.48851603,-1.8458828
-1.2628646,-1.4236122,1.2116791,-1.4104133,0.47727814,-1.5133171
0.18112916,0.27096254,-0.17234193,0.3106361,-0.2625884,0.42065686
0.10570973,0.030823782,-0.13884671,0.227344,-0.27336127,0.3334741
-0.9250046,3.3566651,-1.4545828,-1.077288,-0.8821824,0.4236689
0.56804067,0.5041386,-0.56976855,0.71676886,-0.37787798,0.8628408
1.362353,1.0984675,-1.3570507,1.3036772,-0.12444973,1.230056
-0.18778838,-0.17920323,0.1530522,-0.05156179,-0.34597218,0.033224206
-0.67835826,-0.3355639,0.6261996,-0.54653883,-0.23162837,-0.5146062
